epoch_index,wsmi_scalar,subject_id,band
0,-0.006560147102191348,patient11_window16s_stride1s-epo,beta
1,-0.006295477899990261,patient11_window16s_stride1s-epo,beta
2,-0.006085174807071477,patient11_window16s_stride1s-epo,beta
3,-0.006161735124196814,patient11_window16s_stride1s-epo,beta
4,-0.005389507571469004,patient11_window16s_stride1s-epo,beta
5,-0.005909393115254102,patient11_window16s_stride1s-epo,beta
6,-0.005385592496440919,patient11_window16s_stride1s-epo,beta
7,-0.00538264872020723,patient11_window16s_stride1s-epo,beta
8,-0.0030235771130206475,patient11_window16s_stride1s-epo,beta
9,-0.0025026782133614335,patient11_window16s_stride1s-epo,beta
10,-0.0031127829572443716,patient11_window16s_stride1s-epo,beta
11,-0.0034771554857009833,patient11_window16s_stride1s-epo,beta
12,-0.0034620677312447562,patient11_window16s_stride1s-epo,beta
13,-0.00280524367356332,patient11_window16s_stride1s-epo,beta
14,-0.004519718975826763,patient11_window16s_stride1s-epo,beta
15,-0.004335182927935594,patient11_window16s_stride1s-epo,beta
16,-0.004579255614309745,patient11_window16s_stride1s-epo,beta
17,-0.002997971112587534,patient11_window16s_stride1s-epo,beta
18,-0.003098090150441679,patient11_window16s_stride1s-epo,beta
19,-0.0031054366168459797,patient11_window16s_stride1s-epo,beta
20,-0.003704222222984125,patient11_window16s_stride1s-epo,beta
21,-0.0032109444471492853,patient11_window16s_stride1s-epo,beta
22,-0.0034946583527019136,patient11_window16s_stride1s-epo,beta
23,-0.0030955573374122683,patient11_window16s_stride1s-epo,beta
24,-0.004065755924257362,patient11_window16s_stride1s-epo,beta
25,-0.00400029049353578,patient11_window16s_stride1s-epo,beta
26,-0.003974169107170949,patient11_window16s_stride1s-epo,beta
27,-0.0026257721805371306,patient11_window16s_stride1s-epo,beta
28,-0.0034979114123868203,patient11_window16s_stride1s-epo,beta
29,-0.004427540649342692,patient11_window16s_stride1s-epo,beta
30,-0.003296257118935183,patient11_window16s_stride1s-epo,beta
31,-0.003846289341490607,patient11_window16s_stride1s-epo,beta
32,-0.004961327136200102,patient11_window16s_stride1s-epo,beta
33,-0.006274832401709057,patient11_window16s_stride1s-epo,beta
34,-0.005614986483569326,patient11_window16s_stride1s-epo,beta
35,-0.005378121714137989,patient11_window16s_stride1s-epo,beta
36,-0.007043162439693113,patient11_window16s_stride1s-epo,beta
37,-0.006810766475533017,patient11_window16s_stride1s-epo,beta
38,-0.006583576365153204,patient11_window16s_stride1s-epo,beta
39,-0.006508503996918158,patient11_window16s_stride1s-epo,beta
40,-0.006990324550483936,patient11_window16s_stride1s-epo,beta
41,-0.007255202053586177,patient11_window16s_stride1s-epo,beta
42,-0.007387786290997201,patient11_window16s_stride1s-epo,beta
43,-0.009310724691926744,patient11_window16s_stride1s-epo,beta
44,-0.007915894175783908,patient11_window16s_stride1s-epo,beta
45,-0.007328880926187662,patient11_window16s_stride1s-epo,beta
46,-0.006271068686937926,patient11_window16s_stride1s-epo,beta
47,-0.005480984352194375,patient11_window16s_stride1s-epo,beta
48,-0.004482673487627013,patient11_window16s_stride1s-epo,beta
49,-0.004459518309207173,patient11_window16s_stride1s-epo,beta
50,-0.004678150723592527,patient11_window16s_stride1s-epo,beta
51,-0.005465445653003056,patient11_window16s_stride1s-epo,beta
52,-0.0042327658751472015,patient11_window16s_stride1s-epo,beta
53,-0.004492871816227667,patient11_window16s_stride1s-epo,beta
54,-0.004750195871006857,patient11_window16s_stride1s-epo,beta
