epoch_index,wsmi_scalar,subject_id,band
156,-0.003616486401153715,patient2,alpha
157,-0.003335244202672979,patient2,alpha
158,-0.004186203630082343,patient2,alpha
159,-0.002539796039478439,patient2,alpha
160,-0.0011590483830633631,patient2,alpha
161,0.0014947538267879442,patient2,alpha
162,-0.0014492806178892398,patient2,alpha
163,-6.546189363999367e-05,patient2,alpha
164,0.0005767037621093402,patient2,alpha
165,0.001988071256913624,patient2,alpha
166,-0.000885627102900077,patient2,alpha
167,-0.001984844707392165,patient2,alpha
168,-0.0012948261309198342,patient2,alpha
169,-0.0009175218991861736,patient2,alpha
170,-0.002026177417889737,patient2,alpha
171,-0.00443615477275384,patient2,alpha
172,-0.0039047467722111897,patient2,alpha
173,-0.001900976281743614,patient2,alpha
174,-0.0006781772557687118,patient2,alpha
175,-0.0012374745049382318,patient2,alpha
176,-0.003600952838051603,patient2,alpha
177,-0.004801692814997731,patient2,alpha
178,-0.0053467328667252765,patient2,alpha
179,-0.003473705458719586,patient2,alpha
180,-0.006869612974003756,patient2,alpha
181,-0.0057831430367688156,patient2,alpha
182,-0.003170400545403991,patient2,alpha
183,-0.004785416800349206,patient2,alpha
184,-0.0027476096774772733,patient2,alpha
185,-0.0022510301389837917,patient2,alpha
186,-0.002513656786069909,patient2,alpha
187,-0.002131500647165347,patient2,alpha
188,-0.0013835807739769027,patient2,alpha
189,-0.0012289969159622802,patient2,alpha
190,-0.003938917947508578,patient2,alpha
191,-0.0051934787548560775,patient2,alpha
192,-0.004177030690829683,patient2,alpha
193,-0.0013785983192353608,patient2,alpha
194,-0.0011145867668633253,patient2,alpha
195,-6.400778513797713e-06,patient2,alpha
196,0.0017685813036185697,patient2,alpha
197,0.0019184663971046117,patient2,alpha
198,0.0016228104516161207,patient2,alpha
199,0.0038904781916812643,patient2,alpha
200,0.0016245035488222435,patient2,alpha
201,0.004214393920457342,patient2,alpha
202,0.0029062124361239868,patient2,alpha
203,0.004543421169155108,patient2,alpha
204,0.0011984489577950687,patient2,alpha
205,0.002004233826046296,patient2,alpha
206,0.0024755584013568133,patient2,alpha
207,0.0026141798853736636,patient2,alpha
208,0.00037580882732824285,patient2,alpha
209,-0.0007566426003501706,patient2,alpha
210,-0.0016771559250437496,patient2,alpha
211,-0.0004889397322275117,patient2,alpha
212,0.0008729728373424589,patient2,alpha
213,0.00032836904376911443,patient2,alpha
214,0.0014536668431083643,patient2,alpha
215,-0.0006560925439528172,patient2,alpha
216,-0.003118585718013985,patient2,alpha
217,-0.0011770206071316275,patient2,alpha
218,-0.0011631978124793064,patient2,alpha
219,-0.0012181007251439368,patient2,alpha
220,-0.002365032180322498,patient2,alpha
221,5.023278859905024e-05,patient2,alpha
222,-0.0008148982249244845,patient2,alpha
223,-0.0014594965231081822,patient2,alpha
224,0.0002702320169422753,patient2,alpha
225,-0.002094445976138139,patient2,alpha
226,3.044658941206547e-06,patient2,alpha
227,0.0010329914039268991,patient2,alpha
228,0.0012999485114009203,patient2,alpha
229,0.00019133675657324512,patient2,alpha
230,-0.00015141075153411604,patient2,alpha
231,0.0008566231847630735,patient2,alpha
232,4.8413577758768174e-05,patient2,alpha
233,-0.00278085401259718,patient2,alpha
234,-0.0022550753945606477,patient2,alpha
235,-0.0034015174648033175,patient2,alpha
236,-0.0028083500332345772,patient2,alpha
237,-0.002072153698726882,patient2,alpha
238,-0.0010175579897786073,patient2,alpha
239,-0.0006606133826933437,patient2,alpha
240,-0.001055283187064862,patient2,alpha
241,-0.0003591123620000294,patient2,alpha
242,-0.005446958244665602,patient2,alpha
243,-0.005433717732500511,patient2,alpha
244,-0.0037936470677242236,patient2,alpha
245,-0.005390819130084495,patient2,alpha
246,-0.004198755462546755,patient2,alpha
247,-0.0026536426844848814,patient2,alpha
248,-0.001757779402583335,patient2,alpha
249,-0.0030735762867552968,patient2,alpha
250,-0.0009247400911250838,patient2,alpha
251,-0.000998763146111984,patient2,alpha
252,-0.0012778626424997251,patient2,alpha
253,-0.0020575695339498197,patient2,alpha
254,-0.003022980225545901,patient2,alpha
255,-0.0008764669746933673,patient2,alpha
256,-0.0009473314858924357,patient2,alpha
257,-0.0006162320587171005,patient2,alpha
258,0.002042228167902189,patient2,alpha
259,0.000696045628232203,patient2,alpha
260,-0.0007081334339974718,patient2,alpha
261,-0.0027034335764431847,patient2,alpha
262,-0.0025403349968809623,patient2,alpha
263,-0.005573886308828521,patient2,alpha
264,-0.004661352245711525,patient2,alpha
265,-0.00575371319196544,patient2,alpha
266,-0.008070965293116171,patient2,alpha
267,-0.007970985427037619,patient2,alpha
268,-0.009511494586200748,patient2,alpha
269,-0.011125937714012425,patient2,alpha
270,-0.012429838531205509,patient2,alpha
271,-0.012019433533309726,patient2,alpha
272,-0.011215326107926516,patient2,alpha
273,-0.013217136241848516,patient2,alpha
274,-0.01576658263050486,patient2,alpha
275,-0.01433050626013206,patient2,alpha
276,-0.011271777112527134,patient2,alpha
277,-0.01137110917669773,patient2,alpha
278,-0.009780080619445988,patient2,alpha
279,-0.010466600724434436,patient2,alpha
280,-0.011728191922431026,patient2,alpha
281,-0.010749469562104976,patient2,alpha
282,-0.010922346886529587,patient2,alpha
283,-0.009025759893127054,patient2,alpha
284,-0.006120852154109072,patient2,alpha
285,-0.00410935039754776,patient2,alpha
286,-0.005065624888118177,patient2,alpha
287,-0.004150103448894315,patient2,alpha
288,-0.003990656500428691,patient2,alpha
289,-0.0051278046966441474,patient2,alpha
290,-0.0034095624676828626,patient2,alpha
291,-0.003844689231877378,patient2,alpha
292,-0.005927232011543111,patient2,alpha
293,-0.005082880673760841,patient2,alpha
294,-0.006525890741368468,patient2,alpha
295,-0.0067730922816197055,patient2,alpha
296,-0.006190922246823939,patient2,alpha
297,-0.007858379677951138,patient2,alpha
298,-0.007869964875002978,patient2,alpha
299,-0.006796427268830068,patient2,alpha
300,-0.0070681669382134564,patient2,alpha
301,-0.008096275503940119,patient2,alpha
302,-0.007038242779772074,patient2,alpha
303,-0.009631561863339142,patient2,alpha
304,-0.011174489249850232,patient2,alpha
305,-0.009946861222928547,patient2,alpha
306,-0.009409369887857436,patient2,alpha
307,-0.010337387813746296,patient2,alpha
308,-0.010820190741420406,patient2,alpha
309,-0.00876553470089544,patient2,alpha
310,-0.008193515584057079,patient2,alpha
311,-0.006031093755709051,patient2,alpha
312,-0.004602848194786609,patient2,alpha
313,-0.0030792994145466763,patient2,alpha
314,-0.0037329219597028174,patient2,alpha
315,-0.0033385734195032287,patient2,alpha
316,-0.0025701142984779273,patient2,alpha
317,-0.003526925370093393,patient2,alpha
318,-0.002182156592887521,patient2,alpha
319,5.10037800214051e-06,patient2,alpha
320,-0.0001013520364005081,patient2,alpha
321,0.0010894641718454316,patient2,alpha
322,0.001665220784707391,patient2,alpha
323,0.0017444896903680144,patient2,alpha
324,0.0032589970830599903,patient2,alpha
325,0.0035242349915740666,patient2,alpha
326,0.004469150198864762,patient2,alpha
327,0.001848595437157048,patient2,alpha
328,0.002543369000070322,patient2,alpha
329,0.003075069080550353,patient2,alpha
330,0.002828744877721367,patient2,alpha
331,0.0028566632737427253,patient2,alpha
332,-0.0005916833874310614,patient2,alpha
333,-0.00018283519273272906,patient2,alpha
334,-0.0028837195163726697,patient2,alpha
335,-0.002864977298291217,patient2,alpha
336,-0.004698715674449096,patient2,alpha
337,-0.00380225946306807,patient2,alpha
338,-0.004764183058976293,patient2,alpha
339,-0.0034863349392985406,patient2,alpha
340,-0.002865028837250297,patient2,alpha
341,-0.0032310842755478545,patient2,alpha
342,-0.0005117661740684264,patient2,alpha
343,-0.0005096709465662156,patient2,alpha
344,-0.0018528298892375057,patient2,alpha
345,-0.0011754425711696529,patient2,alpha
346,-0.000483429270905412,patient2,alpha
347,-0.001640860182998025,patient2,alpha
348,-0.0011025206371262956,patient2,alpha
349,-0.00021327400322824434,patient2,alpha
350,0.0012306895591909874,patient2,alpha
351,0.0045256721778902855,patient2,alpha
352,0.003566738556076301,patient2,alpha
353,0.0014184042850563722,patient2,alpha
354,0.0010593113602503177,patient2,alpha
355,0.0014517498701353345,patient2,alpha
356,-0.0017515120028841937,patient2,alpha
357,-0.002225055528165161,patient2,alpha
358,-0.00503321173302492,patient2,alpha
359,-0.004730181653586115,patient2,alpha
360,-0.00743516990928367,patient2,alpha
361,-0.007891863402806098,patient2,alpha
362,-0.00735291751695938,patient2,alpha
363,-0.006950885849585765,patient2,alpha
364,-0.006714150071281693,patient2,alpha
365,-0.005015262579775289,patient2,alpha
366,-0.006870117877013656,patient2,alpha
367,-0.00401558020454644,patient2,alpha
368,-0.005286803242426859,patient2,alpha
369,-0.0017873375972259828,patient2,alpha
370,-0.0036174870616386087,patient2,alpha
371,-0.0022312320439774394,patient2,alpha
372,-0.0015261566671001614,patient2,alpha
373,-0.001902984752656486,patient2,alpha
374,-0.0027540494671792234,patient2,alpha
375,-0.0038598319139668065,patient2,alpha
376,-0.004218024867254741,patient2,alpha
377,-0.0036697842371758655,patient2,alpha
378,-0.005962971088520088,patient2,alpha
379,-0.00763378367818653,patient2,alpha
380,-0.006896013707455538,patient2,alpha
381,-0.009592007185222134,patient2,alpha
382,-0.009308244585591582,patient2,alpha
383,-0.008022054577906291,patient2,alpha
384,-0.007403268083000233,patient2,alpha
385,-0.008729003900355924,patient2,alpha
386,-0.0075481618964748,patient2,alpha
387,-0.011118402016875927,patient2,alpha
388,-0.00942102789763407,patient2,alpha
389,-0.011454296669265129,patient2,alpha
390,-0.00972301793194147,patient2,alpha
391,-0.008814093534446746,patient2,alpha
392,-0.0076878334678921354,patient2,alpha
393,-0.005439906115129073,patient2,alpha
394,-0.004732150372508398,patient2,alpha
395,-0.002441506528816594,patient2,alpha
396,-0.003019383145197518,patient2,alpha
397,-0.0010624592335827217,patient2,alpha
398,-0.0034885816933561296,patient2,alpha
399,-0.004128814170348028,patient2,alpha
400,-0.0031350543471956797,patient2,alpha
401,-0.003967528024682328,patient2,alpha
402,-0.003408388870144975,patient2,alpha
403,-0.0056565974982371444,patient2,alpha
404,-0.0026694776716172093,patient2,alpha
405,-0.0009469225065509864,patient2,alpha
406,-0.001984304484506477,patient2,alpha
407,-0.0017860396979639066,patient2,alpha
408,-0.003316684993107971,patient2,alpha
409,-0.003698502375775335,patient2,alpha
410,-0.004444733022103739,patient2,alpha
411,-0.003646606940203301,patient2,alpha
412,-0.006660934844629671,patient2,alpha
413,-0.005711742461692617,patient2,alpha
414,-0.006288905700645769,patient2,alpha
415,-0.006359813978540755,patient2,alpha
416,-0.007201692950109651,patient2,alpha
417,-0.006998713692977389,patient2,alpha
418,-0.008046526931634492,patient2,alpha
419,-0.006531124524085342,patient2,alpha
420,-0.009655549989343093,patient2,alpha
421,-0.01065794352756024,patient2,alpha
422,-0.010727498516859526,patient2,alpha
423,-0.010190613321402638,patient2,alpha
424,-0.013892670847731431,patient2,alpha
425,-0.014273273991713334,patient2,alpha
426,-0.01218056772851219,patient2,alpha
427,-0.010830142299652885,patient2,alpha
428,-0.010816094126929328,patient2,alpha
429,-0.010688979311074364,patient2,alpha
430,-0.010391907298300944,patient2,alpha
431,-0.00801110139347442,patient2,alpha
432,-0.0061292975591268235,patient2,alpha
433,-0.006874957195508385,patient2,alpha
434,-0.0051430461146992,patient2,alpha
435,-0.005295375150562321,patient2,alpha
436,-0.007057577024151387,patient2,alpha
437,-0.006377033417423774,patient2,alpha
438,-0.006019840337934952,patient2,alpha
439,-0.0061561094111088795,patient2,alpha
440,-0.005911487233953636,patient2,alpha
441,-0.00646538918432531,patient2,alpha
442,-0.006845596481542463,patient2,alpha
443,-0.006498881738683363,patient2,alpha
444,-0.005678051450811092,patient2,alpha
445,-0.004985373157556427,patient2,alpha
446,-0.005051378520700452,patient2,alpha
447,-0.005162366571769363,patient2,alpha
448,-0.0075750249027950805,patient2,alpha
449,-0.005961462441674705,patient2,alpha
450,-0.005030547805408617,patient2,alpha
451,-0.005947691694503328,patient2,alpha
452,-0.005952653551086737,patient2,alpha
453,-0.005196518180584888,patient2,alpha
454,-0.008191139123655291,patient2,alpha
455,-0.009033669036613028,patient2,alpha
456,-0.008650694223608311,patient2,alpha
457,-0.008347756038667066,patient2,alpha
458,-0.0057634386321046,patient2,alpha
459,-0.004126866745587775,patient2,alpha
460,-0.0038995600827768625,patient2,alpha
461,-0.0024891749555117837,patient2,alpha
462,-0.00463827444912396,patient2,alpha
463,-0.005435230992433474,patient2,alpha
464,-0.00641254891995332,patient2,alpha
465,-0.007425854237288997,patient2,alpha
466,-0.008233702050732985,patient2,alpha
467,-0.008472073630622724,patient2,alpha
468,-0.00404885783520159,patient2,alpha
469,-0.007431805386796541,patient2,alpha
470,-0.0054272990823442235,patient2,alpha
471,-0.003947399894150935,patient2,alpha
472,-0.005130224775051553,patient2,alpha
473,-0.005650136011698375,patient2,alpha
474,-0.004214011388651557,patient2,alpha
475,-0.006301017839381333,patient2,alpha
476,-0.009332945949188869,patient2,alpha
477,-0.010626778859307634,patient2,alpha
478,-0.010631784756615697,patient2,alpha
479,-0.009400528694210824,patient2,alpha
480,-0.005514465479420213,patient2,alpha
481,-0.005508117043519075,patient2,alpha
482,-0.003876388645587892,patient2,alpha
483,-0.00439471190630497,patient2,alpha
484,-0.005438706535536233,patient2,alpha
485,-0.007762379590024928,patient2,alpha
486,-0.007032109099582233,patient2,alpha
487,-0.008879907394735334,patient2,alpha
488,-0.007349595450576011,patient2,alpha
489,-0.007362694393025512,patient2,alpha
490,-0.009102404548463285,patient2,alpha
491,-0.008647014806656488,patient2,alpha
492,-0.0063676545465224926,patient2,alpha
493,-0.00897593124119716,patient2,alpha
494,-0.006517434934008863,patient2,alpha
495,-0.0065271414167259656,patient2,alpha
496,-0.007773247590674495,patient2,alpha
497,-0.008761073750437625,patient2,alpha
498,-0.007567486390254747,patient2,alpha
499,-0.006615118436164495,patient2,alpha
500,-0.006543276940705972,patient2,alpha
501,-0.0037632215312888755,patient2,alpha
502,-0.0066235106645197925,patient2,alpha
503,-0.00354761107746896,patient2,alpha
504,-0.004377465125169901,patient2,alpha
505,-0.004449800017308413,patient2,alpha
506,-0.0013775854489579303,patient2,alpha
507,-0.00030681180942571855,patient2,alpha
508,0.0004177494040632772,patient2,alpha
509,-0.0007246569841144162,patient2,alpha
510,-0.0005076932997143837,patient2,alpha
511,0.0008286047455644672,patient2,alpha
512,0.0002919547357367303,patient2,alpha
513,-2.136952985238334e-05,patient2,alpha
514,-0.002189323855625939,patient2,alpha
515,-0.0029181484457515587,patient2,alpha
516,-0.005419841593692699,patient2,alpha
517,-0.0031266223188222498,patient2,alpha
518,-0.001238137649153032,patient2,alpha
519,0.0004171008166191563,patient2,alpha
520,0.00010459488606295872,patient2,alpha
521,0.002022917141886715,patient2,alpha
522,-0.000263870196575541,patient2,alpha
523,0.0004061179415313794,patient2,alpha
524,-0.0027806731470873857,patient2,alpha
525,-0.0025974744308846507,patient2,alpha
526,-0.0038248616637071207,patient2,alpha
527,-0.002055112804847509,patient2,alpha
528,-0.0005868275272224901,patient2,alpha
529,-0.000482370518687529,patient2,alpha
530,0.0026047880700872006,patient2,alpha
531,0.004166072804629488,patient2,alpha
532,0.0024660591860979717,patient2,alpha
533,0.0025059689569317026,patient2,alpha
534,0.0011805425379106114,patient2,alpha
535,0.0007260538225124434,patient2,alpha
536,-0.00011635664217823073,patient2,alpha
537,-0.00037866380659502054,patient2,alpha
538,-0.0002794744800838811,patient2,alpha
539,-0.0005740599895978733,patient2,alpha
540,0.0012784738094144803,patient2,alpha
541,0.0021704057256684882,patient2,alpha
542,4.029418137765167e-05,patient2,alpha
543,-0.00110583502184292,patient2,alpha
544,-0.0032823191724289046,patient2,alpha
545,-0.0016079537406053777,patient2,alpha
546,-0.0029907885581237754,patient2,alpha
547,-0.0021023154381215156,patient2,alpha
548,-0.004428790845955682,patient2,alpha
549,-0.007627484088361839,patient2,alpha
550,-0.007346748120940653,patient2,alpha
551,-0.007016232772464981,patient2,alpha
552,-0.005380915673866711,patient2,alpha
553,-0.005685112671155417,patient2,alpha
554,-0.006797536743868484,patient2,alpha
555,-0.01005075513848732,patient2,alpha
556,-0.009387219954545424,patient2,alpha
557,-0.01056126046650845,patient2,alpha
558,-0.009901726887620955,patient2,alpha
559,-0.006778677559566637,patient2,alpha
560,-0.005941920151567039,patient2,alpha
561,-0.006848122221538828,patient2,alpha
562,-0.00745316558181611,patient2,alpha
563,-0.005502997577377131,patient2,alpha
564,-0.0042258803709472196,patient2,alpha
565,-0.0008002511069870898,patient2,alpha
566,-1.4009768399626267e-05,patient2,alpha
567,0.0006705234761238308,patient2,alpha
568,-0.0010778297583443545,patient2,alpha
569,-0.0014129709355597557,patient2,alpha
570,-9.497480716330266e-05,patient2,alpha
571,0.0014085097917594035,patient2,alpha
572,0.00047898274144436026,patient2,alpha
573,-0.0018437994296847473,patient2,alpha
574,-0.0019030824879929485,patient2,alpha
575,-0.0007396060738865862,patient2,alpha
576,0.000833883561804362,patient2,alpha
577,-6.811786232384941e-05,patient2,alpha
578,-0.000498854650916669,patient2,alpha
579,-0.0012991771805412,patient2,alpha
580,-0.0017857644808823366,patient2,alpha
581,-0.0021749859094964416,patient2,alpha
582,-0.0023454106808887955,patient2,alpha
583,-0.00495714515847817,patient2,alpha
584,-0.0031487881829888585,patient2,alpha
585,-0.002993610311142063,patient2,alpha
586,-0.0027559923777324903,patient2,alpha
587,-0.002059093911871095,patient2,alpha
588,-0.0019357814505558608,patient2,alpha
589,-4.568072364842945e-05,patient2,alpha
590,-0.0008184285568071679,patient2,alpha
591,-0.001821519525751077,patient2,alpha
592,-0.0032940747264487338,patient2,alpha
593,-0.003704772686142793,patient2,alpha
594,-0.0048381349889300325,patient2,alpha
595,-0.004851804558391392,patient2,alpha
596,-0.0026605560479381484,patient2,alpha
597,-7.457035372978286e-05,patient2,alpha
598,0.0016513800003429117,patient2,alpha
599,0.004018104236613514,patient2,alpha
600,0.001258071164565984,patient2,alpha
601,0.0013714495140351609,patient2,alpha
602,0.0018419084498473676,patient2,alpha
603,-0.0026514171996904683,patient2,alpha
604,-0.0009262319756753682,patient2,alpha
605,-0.0012797667348223418,patient2,alpha
606,0.0006320564793874618,patient2,alpha
607,0.0022216398560032133,patient2,alpha
608,0.0014108437587527077,patient2,alpha
609,0.0010743074325054078,patient2,alpha
610,-0.00017596057261598476,patient2,alpha
611,-0.0026955898411342234,patient2,alpha
612,-0.0023959517071866373,patient2,alpha
613,-0.002231958384748916,patient2,alpha
614,-0.0028369054064229064,patient2,alpha
615,-0.002070456315972018,patient2,alpha
616,8.942210536649404e-05,patient2,alpha
617,0.00010987290740461455,patient2,alpha
618,-0.0010489674434796556,patient2,alpha
619,-0.002246487556525692,patient2,alpha
620,-0.0028602803820762684,patient2,alpha
621,-0.0017631394356314794,patient2,alpha
622,-0.004354914228860124,patient2,alpha
623,-0.003760648890434044,patient2,alpha
