epoch_index,wsmi_scalar,subject_id,band
0,-0.0033848555411259483,patient10_window16s_stride1s-epo,theta
1,-0.003937334318412723,patient10_window16s_stride1s-epo,theta
2,-0.004268136668868418,patient10_window16s_stride1s-epo,theta
3,-0.003817160189800275,patient10_window16s_stride1s-epo,theta
4,-0.004210704397709395,patient10_window16s_stride1s-epo,theta
5,-0.0042358474948071346,patient10_window16s_stride1s-epo,theta
6,-0.0019607363009655535,patient10_window16s_stride1s-epo,theta
7,-0.002761973531104806,patient10_window16s_stride1s-epo,theta
8,-0.0021244213573671385,patient10_window16s_stride1s-epo,theta
9,-0.004121912948800787,patient10_window16s_stride1s-epo,theta
10,-0.003373157977869396,patient10_window16s_stride1s-epo,theta
11,-0.003737417049402539,patient10_window16s_stride1s-epo,theta
12,-0.00482120429096201,patient10_window16s_stride1s-epo,theta
13,-0.005733778116440936,patient10_window16s_stride1s-epo,theta
14,-0.003274732233630091,patient10_window16s_stride1s-epo,theta
15,-0.004389406946727269,patient10_window16s_stride1s-epo,theta
16,-0.004649250768395425,patient10_window16s_stride1s-epo,theta
17,-0.006319199854067719,patient10_window16s_stride1s-epo,theta
18,-0.008151250074538277,patient10_window16s_stride1s-epo,theta
19,-0.008914156697475795,patient10_window16s_stride1s-epo,theta
20,-0.007007859860661801,patient10_window16s_stride1s-epo,theta
21,-0.006330163714084818,patient10_window16s_stride1s-epo,theta
22,-0.006332155111534934,patient10_window16s_stride1s-epo,theta
23,-0.007921028040846847,patient10_window16s_stride1s-epo,theta
24,-0.007128283559409161,patient10_window16s_stride1s-epo,theta
25,-0.006044835665274257,patient10_window16s_stride1s-epo,theta
26,-0.008217607960643447,patient10_window16s_stride1s-epo,theta
27,-0.008018277203076568,patient10_window16s_stride1s-epo,theta
28,-0.007631643062973252,patient10_window16s_stride1s-epo,theta
29,-0.007020263379317914,patient10_window16s_stride1s-epo,theta
30,-0.006443898047262531,patient10_window16s_stride1s-epo,theta
31,-0.006704731545148546,patient10_window16s_stride1s-epo,theta
32,-0.005655088725108394,patient10_window16s_stride1s-epo,theta
33,-0.006586308462539917,patient10_window16s_stride1s-epo,theta
34,-0.004056673859984326,patient10_window16s_stride1s-epo,theta
35,-0.005182075451134669,patient10_window16s_stride1s-epo,theta
36,-0.005366017888547597,patient10_window16s_stride1s-epo,theta
37,-0.006934211080858112,patient10_window16s_stride1s-epo,theta
38,-0.006534773252226892,patient10_window16s_stride1s-epo,theta
39,-0.004423604148485039,patient10_window16s_stride1s-epo,theta
40,-0.005621437588610881,patient10_window16s_stride1s-epo,theta
41,-0.0041762607651868984,patient10_window16s_stride1s-epo,theta
42,-0.003025746270747883,patient10_window16s_stride1s-epo,theta
43,-0.0014532011308421734,patient10_window16s_stride1s-epo,theta
44,-0.0003124870258181144,patient10_window16s_stride1s-epo,theta
45,-0.0007684840862766292,patient10_window16s_stride1s-epo,theta
46,-0.0010079473772573709,patient10_window16s_stride1s-epo,theta
47,-0.0023652076842278413,patient10_window16s_stride1s-epo,theta
48,-0.003111631185454933,patient10_window16s_stride1s-epo,theta
49,-0.003135975016409567,patient10_window16s_stride1s-epo,theta
50,-0.004786218641554964,patient10_window16s_stride1s-epo,theta
51,-0.00387839377637951,patient10_window16s_stride1s-epo,theta
52,-0.004001206443801435,patient10_window16s_stride1s-epo,theta
